Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CircleBig	2	ObjectSize	1	2033	230163		0		0				1	41,35	41,35	41,35		0,89	0,89	0,89	0,89	1352	98,33	41,35	37,59	0,89
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CircleBig	1	ObjectSize	3	2017	197414		0		0				0													
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CircleBig	2	ObjectSize	1	2017	203431		1223	408	3	307	2,74781	7,07048	2	56,89	35,55	78,22	30,17	1,12	0,72	1,51	2,23	944	303,74	78,22	61,67	1,51
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CircleBig	1	ObjectSize	3	2017	205848		1437	359	4	300	2,85034	10,51749	5	113,15	47,48	258,43	86,27	2,73	0,94	6,83	13,64	144	272,03	258,43	158,65	6,83
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CircleBig	2	ObjectSize	1	2033	208498		1403	351	4	583	2,97046	10,53111	5	56,44	33,27	90,03	26,02	1,17	0,61	2,15	5,83	504	115,65	42,37	37,64	0,77
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CircleBig	1	ObjectSize	3	2033	176611		180	180	1	180	2,59789	10,68627	1	95,26	95,26	95,26		0,62	0,62	0,62	0,62	1323	126,11	95,26	52,61	0,62
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CircleBig	2	ObjectSize	1	2017	181911		813	271	3	373	2,5482	10,83523	2	57,41	37,92	76,89	27,55	1,17	0,76	1,59	2,35	1433	238,49	37,92	36,42	0,76
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CircleBig	1	ObjectSize	1	2017	158709		0		0				0													
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CircleBig	2	ObjectSize	3	2017	161692		0		0				0													
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CircleBig	1	ObjectSize	1	2033	168658		0		0				0													
