Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	VisualSearchBottom	1	VisualSearch	5	1346	255829		193	97	2	97	1,36447	1,85779	0													
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	VisualSearchBottom	2	VisualSearch	1	2814	259229		413	207	2	187	2,83126	6,15605	1	514,86	514,86	514,86		32,66	32,66	32,66	32,66	2459	265,37	514,86	326,03	32,66
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	VisualSearchBottom	1	VisualSearch	1	3184	249565		1933	215	9	183	2,77539	6,93209	6	197,69	62,35	486,3	149,13	5,73	1,05	16,74	34,39	225	111,58	110,95	83,6	2,29
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	VisualSearchBottom	2	VisualSearch	5	2151	253981		1410	201	7	183	2,69629	6,67784	6	205,4	59,99	401,41	129,29	8,49	1,08	18,04	50,96	22	98,76	93,6	72,98	2,11
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	VisualSearchBottom	1	VisualSearch	5	1303	226314		623	208	3	317	2,88595	10,5669	4	208,6	33,71	447,5	173,76	6,08	0,55	16,44	24,33	71	269,9	33,71	32,54	0,55
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	VisualSearchBottom	2	VisualSearch	1	1505	228281		623	208	3	197	2,9782	10,48455	3	250,25	53,7	390,46	175,31	8,27	0,84	15,3	24,82	198	270,55	53,7	51,01	0,84
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	VisualSearchBottom	1	VisualSearch	5	942	198361		640	213	3	283	3,04642	11,18148	1	348,62	348,62	348,62		9,17	9,17	9,17	9,17	286	269,23	348,62	212,72	9,17
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	VisualSearchBottom	2	VisualSearch	1	693	199994		190	190	1	190	2,9366	11,24283	1	190,54	190,54	190,54		3,35	3,35	3,35	3,35	513	258,1	190,54	132,68	3,35
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	VisualSearchBottom	1	VisualSearch	5	926	177259		367	122	3	97	3,41407	9,94241	4	220,58	119,07	343,55	114,59	6,09	2,07	13,65	24,37	210	270,86	343,55	222,52	13,65
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	VisualSearchBottom	2	VisualSearch	1	546	178859		0		0				1	323,97	323,97	323,97		7,94	7,94	7,94	7,94	227	260,12	323,97	205,6	7,94
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	VisualSearchBottom	1	VisualSearch	5	563	193025		120	120	1	120	3,3762	11,12614	0													
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	VisualSearchBottom	2	VisualSearch	1	533	194275		0		0				0													
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	VisualSearchBottom	1	VisualSearch	5	1138	220632		540	180	3	180	3,04056	9,51725	2	133,83	100,51	167,15	47,12	1,98	1,48	2,47	3,95	273	39,74	100,51	76,22	1,48
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	VisualSearchBottom	2	VisualSearch	1	879	225699		330	165	2	160	2,87597	9,63907	1	105,05	105,05	105,05		1,63	1,63	1,63	1,63	670	192,45	105,05	82,33	1,63
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	VisualSearchBottom	1	VisualSearch	1	764	133959		457	152	3	150	2,70849	9,64272	4	170,24	40,42	309	112,37	5,27	0,8	11,97	21,06	52	125,7	40,42	36,78	0,8
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	VisualSearchBottom	2	VisualSearch	5	586	135409		217	108	2	117	2,7918	9,68737	2	165,59	128,75	202,43	52,1	4,58	2,86	6,3	9,16	259	270,35	202,43	130,98	6,3
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	VisualSearchBottom	1	VisualSearch	1	3184	159686		2053	342	6	600	2,68186	9,5406	7	197,79	45,84	390,81	140,63	3,92	1,07	8,03	27,43	233	103,1	269,43	177,4	5,48
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	VisualSearchBottom	2	VisualSearch	5	956	167070		403	202	2	200	2,70209	9,0888	3	277,73	40,36	481,79	222,59	7,37	0,64	15,95	22,11	333	268,69	481,79	272,75	15,95
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	VisualSearchBottom	1	VisualSearch	5	1402	112494		783	157	5	147	2,8942	9,13425	6	169,38	47,06	283,05	86,7	4,57	0,99	9	27,4	55	114,49	116,78	79,56	2,59
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	VisualSearchBottom	2	VisualSearch	1	1383	114861		803	201	4	183	2,95872	9,20947	5	228,24	40,66	356,18	120,98	7,77	0,78	13,18	38,87	235	275,2	255,79	162,59	7,69
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	VisualSearchBottom	1	VisualSearch	1	1414	109457		507	253	2	150	2,63656	10,55994	1	116,2	116,2	116,2		2,13	2,13	2,13	2,13	839	267,29	116,2	92,85	2,13
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	VisualSearchBottom	2	VisualSearch	5	1565	114290		973	324	3	323	2,64916	10,93842	2	252,8	92,99	412,61	226	8,03	1,17	14,88	16,05	606	87,77	412,61	219,35	14,88
