Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	CirclesVertical	3	VerticalObjects	2	2017	158178		980	245	4	333	3,62121	11,44323	5	133,21	59,57	197,99	56,95	4,45	0,88	7,63	22,26	818	6,83	59,57	48,82	0,88
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CirclesVertical	1	VerticalObjects	3	2017	206363		1217	243	5	403	2,39131	7,53043	4	205,32	117,97	314,11	82,52	6,69	2,37	11,69	26,76	333	91,16	213,71	132,38	6,14
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CirclesVertical	2	VerticalObjects	2	2017	209013		1100	367	3	313	2,62043	7,86138	4	132,4	35,92	222,78	79,68	3,63	0,82	5,95	14,52	393	87,75	163,31	103,4	5,33
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CirclesVertical	3	VerticalObjects	1	2017	211663		1173	235	5	127	2,55998	7,60871	4	139,71	32,49	230,7	98,53	4,17	0,7	8,41	16,67	396	310,31	79,93	61,92	1,5
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CirclesVertical	1	VerticalObjects	3	2033	178631		1213	243	5	153	2,5357	7,40572	5	100,97	74,56	117,23	17,09	2,21	1,47	2,65	11,05	274	87,83	105,44	81,55	2,26
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CirclesVertical	2	VerticalObjects	1	2033	181464		1380	345	4	277	2,71792	7,33535	3	110,15	56,36	143,87	47,08	2,24	1,17	2,79	6,73	77	92,49	56,36	45,91	1,17
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CirclesVertical	3	VerticalObjects	2	2033	184114		1227	307	4	433	2,79501	7,20538	1	92,27	92,27	92,27		1,76	1,76	1,76	1,76	1214	96,46	92,27	72,49	1,76
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CirclesVertical	1	VerticalObjects	1	2017	187281		1370	274	5	227	2,63378	10,448	6	165,07	38,56	395,78	134,47	5,43	0,79	16,04	32,57	265	93,31	151,98	102,61	4,08
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CirclesVertical	2	VerticalObjects	3	2017	189931		927	309	3	360	2,96251	10,32533	3	219,54	123,38	316,31	96,46	6,13	2,5	9,67	18,39	285	93,96	218,93	140,02	6,22
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CirclesVertical	3	VerticalObjects	2	2017	192564		1190	297	4	303	2,97528	10,23865	5	146,45	42,17	274,41	110,96	3,81	0,81	8,22	19,07	508	92,9	274,41	168,56	8,22
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CirclesVertical	1	VerticalObjects	1	2017	157494		593	297	2	240	2,52869	11,00339	3	91,4	60,63	139,68	42,34	2,14	1,48	3,38	6,42	956	87,47	139,68	93,51	3,38
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CirclesVertical	2	VerticalObjects	2	2017	160144		1117	1117	1	1117	2,50685	10,75352	1	53,29	53,29	53,29		0,92	0,92	0,92	0,92	1950	85,88	53,29	47,31	0,92
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CirclesVertical	3	VerticalObjects	3	2017	162778		1403	468	3	537	2,60864	11,1205	3	88,84	49,48	121,23	36,38	1,89	0,97	2,53	5,67	346	91,94	95,82	74,06	2,18
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CirclesVertical	1	VerticalObjects	2	2033	135809		0		0				0													
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CirclesVertical	2	VerticalObjects	1	2017	138459		0		0				1	54,14	54,14	54,14		1,02	1,02	1,02	1,02	1034	273,32	54,14	44,92	1,02
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CirclesVertical	3	VerticalObjects	3	2017	141526		0		0				1	46,61	46,61	46,61		0,67	0,67	0,67	0,67	704	60,32	46,61	40,74	0,67
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CirclesVertical	1	VerticalObjects	3	2017	150125		0		0				0													
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CirclesVertical	2	VerticalObjects	1	2017	152775		0		0				0													
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CirclesVertical	3	VerticalObjects	2	2017	155408		0		0				0													
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CirclesVertical	1	VerticalObjects	3	2017	171149		940	470	2	853	2,64693	10,13449	1	247,91	247,91	247,91		5,41	5,41	5,41	5,41	697	92,07	247,91	151,37	5,41
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CirclesVertical	2	VerticalObjects	2	2017	173799		923	462	2	780	2,7169	9,69824	2	104,71	74,74	134,67	42,38	2,19	1,68	2,7	4,38	734	96,79	134,67	95,39	2,7
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CirclesVertical	3	VerticalObjects	1	2000	176449		420	420	1	420	2,71491	10,34191	1	217,11	217,11	217,11		5,52	5,52	5,52	5,52	730	272,94	217,11	146,48	5,52
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CirclesVertical	1	VerticalObjects	1	2017	95875		987	493	2	640	2,45993	9,17849	3	159,85	132,61	214,12	47	4,67	3,78	6,03	14,02	363	90,87	132,61	91,63	4,21
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CirclesVertical	2	VerticalObjects	3	2000	98509		1090	272	4	260	2,6619	9,09091	5	153,22	73,37	268,18	74,75	4,65	2,1	9,18	23,23	399	91,94	153,63	95,81	3,94
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CirclesVertical	3	VerticalObjects	2	2017	101142		0		0				0													
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CirclesVertical	1	VerticalObjects	2	2017	113953		1350	1350	1	1350	2,47102	10,29792	2	189,45	99,14	279,75	127,71	3,97	1,78	6,15	7,93	385	91,13	279,75	176,26	6,15
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CirclesVertical	2	VerticalObjects	1	2017	116603		970	485	2	487	2,61949	10,27289	2	39,15	38,27	40,04	1,25	0,63	0,61	0,66	1,27	418	254,99	38,27	34,53	0,61
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CirclesVertical	3	VerticalObjects	3	2033	119253		0		0				0													
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CirclesVertical	1	VerticalObjects	2	2000	78844		1350	337	4	373	2,69447	8,6328	5	143,98	34,9	228,25	85,57	4,74	0,62	8,08	23,69	352	90,35	198,31	124,49	5,91
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CirclesVertical	2	VerticalObjects	3	2033	81744		1453	291	5	157	2,82233	8,51587	5	177,65	38,99	284,43	110,06	5,3	0,69	8,74	26,5	159	91,88	262,95	164,3	7,66
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CirclesVertical	3	VerticalObjects	1	2017	84394		1137	568	2	640	2,9071	8,6402	3	225,03	171,24	273,97	51,54	7,52	4,96	9,75	22,55	239	91,56	273,97	163,98	7,84
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CirclesVertical	1	VerticalObjects	2	2017	78157		767	256	3	167	2,52549	11,41413	2	153,91	98,9	208,92	77,79	3,82	1,96	5,68	7,64	576	91,09	208,92	134,49	5,68
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CirclesVertical	2	VerticalObjects	3	2017	80790		1400	467	3	367	2,63309	11,26166	3	143,17	50,81	320,77	153,84	3,34	0,75	8,21	10,03	400	90,49	320,77	162,07	8,21
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CirclesVertical	3	VerticalObjects	1	2017	83423		1297	324	4	190	2,59935	11,13308	4	147,76	96,02	227,84	57,38	2,91	1,96	4,58	11,65	646	267,64	96,02	69,99	1,96
