Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CircleBottom	2	ObjectPosition	1	2000	219596		907	113	8	117	2,32924	6,47864	4	91,8	31,06	207,25	78,56	2,37	0,22	7,89	9,5	256	269,57	207,25	127,06	7,89
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CircleBottom	1	ObjectPosition	1	2017	189431		1530	382	4	283	2,70451	7,11678	4	91,2	38,8	218,13	85,45	2,42	0,65	6,75	9,68	211	269,64	218,13	140,23	6,75
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CircleBottom	2	ObjectPosition	3	2033	194714		1163	388	3	197	2,83287	7,1296	1	194,96	194,96	194,96		6	6	6	6	277	270,57	194,96	127,76	6
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CircleBottom	1	ObjectPosition	3	2017	195198		1563	782	2	623	2,9645	11,02906	3	113,71	35,59	258,1	125,19	2,88	0,86	6,84	8,64	175	263,69	258,1	130,93	6,84
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CircleBottom	2	ObjectPosition	1	2017	197848		1783	594	3	110	3,03595	10,81845	4	177,92	33,36	348,73	136,5	4,75	0,5	10,28	19,01	75	272,05	217,16	137,13	5,53
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CircleBottom	1	ObjectPosition	3	2017	165428		1550	517	3	807	2,44068	10,83615	4	116,82	60,95	232,54	78,22	2,67	1,18	5,8	10,68	326	270,18	232,54	149,21	5,8
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CircleBottom	2	ObjectPosition	1	2017	171311		1480	740	2	887	2,48817	10,68699	2	163,85	40,1	287,6	175,01	3,75	0,58	6,93	7,51	246	270,09	287,6	174,75	6,93
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CircleBottom	1	ObjectPosition	3	2033	144159		1117	1117	1	1117	3,17081	9,86635	1	251,41	251,41	251,41		7,25	7,25	7,25	7,25	267	267,52	251,41	166,86	7,25
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CircleBottom	2	ObjectPosition	1	2017	149842		0		0				1	212,47	212,47	212,47		6,07	6,07	6,07	6,07	227	267,75	212,47	131,02	6,07
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CircleBottom	1	ObjectPosition	3	2033	158041		0		0				0													
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CircleBottom	2	ObjectPosition	1	2017	163341		357	357	1	357	3,09192	10,3526	1	38,24	38,24	38,24		0,71	0,71	0,71	0,71	659	82,48	38,24	35,06	0,71
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CircleBottom	1	ObjectPosition	1	2017	181716		1080	540	2	490	2,69926	8,41148	1	63,7	63,7	63,7		1,03	1,03	1,03	1,03	1727	97,82	63,7	53,97	1,03
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CircleBottom	2	ObjectPosition	3	2017	184366		0		0				1	182,66	182,66	182,66		4,25	4,25	4,25	4,25	217	269,49	182,66	121,2	4,25
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CircleBottom	1	ObjectPosition	3	2017	103775		1413	1413	1	1413	2,52526	8,95048	2	111,27	34	188,55	109,28	3,23	0,78	5,69	6,47	293	270,55	188,55	112,2	5,69
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CircleBottom	2	ObjectPosition	1	2017	106425		1230	1230	1	1230	2,49807	8,92551	2	112,21	52,78	171,63	84,04	3,44	1,03	5,85	6,88	216	271,1	171,63	110,51	5,85
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CircleBottom	1	ObjectPosition	1	2033	122403		683	342	2	197	2,52987	9,31649	3	135,26	64,06	270,89	117,51	3,16	1,16	7,02	9,48	278	270,9	270,89	159,88	7,02
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CircleBottom	2	ObjectPosition	3	2017	130336		1693	423	4	183	2,50015	9,47739	4	185,06	40,81	340,44	148,25	4,65	0,59	8,71	18,59	12	88,01	40,81	37	0,59
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CircleBottom	1	ObjectPosition	3	2017	89661		660	165	4	163	2,87522	8,57296	4	158,87	56,69	218,47	71,79	4,65	1,08	8,87	18,59	39	269,27	218,47	143,64	8,87
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CircleBottom	2	ObjectPosition	1	2017	96044		767	383	2	667	2,79645	8,60163	2	167,66	101,51	233,81	93,55	5,11	2,48	7,75	10,22	138	268,11	233,81	150,77	7,75
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CircleBottom	1	ObjectPosition	1	2017	86073		1473	246	6	167	2,59452	10,85414	4	147,25	114,01	194,16	34,06	2,84	2,37	3,92	11,37	856	96,05	134,08	104,33	2,6
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CircleBottom	2	ObjectPosition	3	2033	94007		1050	263	4	183	2,52842	10,79634	3	221,82	117,69	403,85	158,18	5,53	1,7	12,23	16,6	520	42,21	143,93	97,97	2,67
