Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CircleTop	1	ObjectPosition	4	2000	216963		1480	370	4	163	2,54494	7,97442	5	130,84	81,73	194,92	42,62	3,06	1,42	4,5	15,31	6	88,41	146,88	97,5	4,17
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CircleTop	2	ObjectPosition	2	2017	222229		1110	555	2	207	2,37961	8,04092	3	134,32	49,7	266,65	116,08	4,01	1,02	9	12,03	149	91,59	266,65	167,9	9
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CircleTop	1	ObjectPosition	4	2033	186764		1163	291	4	67	2,69369	7,45039	2	97,48	63,64	131,31	47,85	1,95	1,14	2,77	3,91	321	87,78	131,31	92,93	2,77
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CircleTop	2	ObjectPosition	2	2017	192064		743	186	4	90	2,56323	7,49511	3	82,32	60,38	109,03	24,67	1,8	1,31	2,39	5,41	351	98,89	109,03	76,99	2,39
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CircleTop	1	ObjectPosition	4	2033	200481		1503	376	4	290	2,90664	10,13699	5	137,94	41,21	294,37	104,59	3,6	0,59	7,65	18	231	93,32	294,37	164,68	7,65
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	CircleTop	2	ObjectPosition	2	2017	203148		1507	377	4	307	3,10734	10,20393	4	117,28	65,48	232,6	78,3	2,5	1,04	5,89	9,99	181	92,6	232,6	140,15	5,89
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CircleTop	1	ObjectPosition	2	2017	168061		1463	1463	1	1463	2,33538	10,85102	2	164,96	38	291,92	179,55	4,09	0,49	7,69	8,18	196	90,23	291,92	186,89	7,69
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	CircleTop	2	ObjectPosition	4	2033	173944		1297	648	2	923	2,45974	10,9388	3	135,48	38,05	300,76	143,9	3,41	0,76	7,89	10,22	216	89,79	300,76	192,71	7,89
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CircleTop	1	ObjectPosition	2	2017	146826		1127	376	3	213	3,1209	8,98945	3	77,89	30,03	107,05	41,77	2,01	0,53	2,76	6,02	247	87,94	107,05	74,46	2,73
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	CircleTop	2	ObjectPosition	4	2000	152476		1213	607	2	927	3,0404	9,38623	2	124,04	106,48	141,6	24,84	3,43	2,66	4,2	6,86	207	87,73	141,6	96,79	4,2
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CircleTop	1	ObjectPosition	4	2017	160691		0		0				1	331,66	331,66	331,66		8,16	8,16	8,16	8,16	265	91,71	331,66	198,1	8,16
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CircleTop	2	ObjectPosition	2	2033	165991		407	407	1	407	3,0303	11,09749	2	167,41	37,26	297,57	184,07	3,84	0,56	7,12	7,68	155	90,29	297,57	189,32	7,12
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CircleTop	1	ObjectPosition	4	2017	179066		1397	466	3	427	2,6281	10,04924	2	143,03	130,26	155,81	18,06	3,06	2,47	3,64	6,11	750	93,08	130,26	92,96	2,47
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CircleTop	2	ObjectPosition	2	2017	187016		1013	253	4	220	2,68194	9,99814	2	137,54	106,73	168,36	43,58	2,44	1,66	3,22	4,88	467	94,51	106,73	72,68	1,66
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CircleTop	1	ObjectPosition	4	2017	109059		1150	1150	1	1150	2,50513	9,39311	2	138,2	67,21	209,19	100,39	3,64	1,48	5,81	7,28	193	89,88	209,19	135,4	5,81
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CircleTop	2	ObjectPosition	2	2017	111692		870	290	3	357	2,47295	9,39114	4	106,91	45,31	185,09	58,05	3,08	1,09	5,48	12,33	166	91,29	185,09	118,33	5,48
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CircleTop	1	ObjectPosition	4	2017	125053		1120	373	3	300	2,39941	10,55947	4	142,19	48,16	354,13	142,3	2,87	0,83	7,71	11,49	318	90,73	354,13	209,21	7,71
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CircleTop	2	ObjectPosition	2	2017	127703		1567	1567	1	1567	2,42829	10,62544	1	390,94	390,94	390,94		8,94	8,94	8,94	8,94	278	90,67	390,94	235,22	8,94
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CircleTop	1	ObjectPosition	2	2017	87027		1507	753	2	400	2,82709	8,60008	1	92,83	92,83	92,83		2,28	2,28	2,28	2,28	609	88,55	92,83	65,06	2,28
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CircleTop	2	ObjectPosition	4	2017	92844		1373	687	2	210	2,88757	8,4434	2	86,63	57,22	116,03	41,59	2,07	1,18	2,95	4,14	379	93,74	116,03	76,28	2,95
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CircleTop	1	ObjectPosition	2	2017	88723		1047	349	3	97	2,63912	11,02566	3	121,76	58,25	203,99	74,65	2,29	0,71	4,15	6,88	563	263,35	203,99	129,88	4,15
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CircleTop	2	ObjectPosition	4	2017	91373		1137	284	4	213	2,63908	11,30161	4	271,47	84	380,81	129,31	7,98	1,15	13,8	31,9	236	91,65	307,94	157,83	7,19
